Procedure Summary

Plate Type	384 WELL PLATE
Shake	Shake: Medium for 0:03
Start Kinetic	Start Kinetic [Run 0:06:00, Interval 0:00:07]
Read	Read:  (A) 550
End Kinetic	End Kinetic
Read	Read:  (A) Spectrum [500nm to 650nm by 1]

Layout
	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24
A	SPL1	SPL8	SPL15																						Well ID
																									Name
B	SPL2	SPL9	SPL16																						Well ID
																									Name
C	SPL3	SPL10	SPL17																						Well ID
																									Name
D	SPL4	SPL11	SPL18																						Well ID
																									Name
E	SPL5	SPL12	SPL19																						Well ID
																									Name
F	SPL6	SPL13	SPL20																						Well ID
																									Name
G	SPL7	SPL14	SPL21																						Well ID
																									Name
H																									Well ID
																									Name
I																									Well ID
																									Name
J																									Well ID
																									Name
K																									Well ID
																									Name
L																									Well ID
																									Name
M																									Well ID
																									Name
N																									Well ID
																									Name
O																									Well ID
																									Name
P																									Well ID
																									Name

Read 1:550

Kinetic read	A1	A2	A3	B1	B2	B3	C1	C2	C3	D1	D2	D3	E1	E2	E3	F1	F2	F3	G1	G2	G3
0:03:27	0,363	0,355	0,339	0,358	0,425	0,332	0,318	0,319	0,282	0,335	0,460	0,477	0,365	0,344	0,287	0,374	0,468	0,399	0,373	0,351	0,310
0:03:34	0,364	0,356	0,339	0,360	0,426	0,333	0,318	0,319	0,282	0,338	0,462	0,480	0,365	0,344	0,288	0,377	0,467	0,402	0,373	0,351	0,310
0:03:41	0,363	0,356	0,339	0,363	0,425	0,336	0,318	0,319	0,282	0,340	0,461	0,485	0,366	0,344	0,287	0,381	0,467	0,405	0,373	0,351	0,311
0:03:48	0,364	0,358	0,340	0,365	0,426	0,338	0,319	0,319	0,283	0,343	0,459	0,482	0,366	0,345	0,288	0,384	0,465	0,409	0,374	0,351	0,311
0:03:55	0,365	0,358	0,340	0,367	0,427	0,342	0,319	0,318	0,283	0,345	0,459	0,489	0,367	0,344	0,288	0,387	0,466	0,411	0,374	0,351	0,311
0:04:02	0,365	0,359	0,341	0,370	0,427	0,344	0,320	0,320	0,285	0,347	0,459	0,490	0,367	0,345	0,288	0,389	0,465	0,413	0,374	0,351	0,311
0:04:09	0,365	0,359	0,339	0,372	0,427	0,345	0,320	0,319	0,284	0,350	0,460	0,496	0,367	0,345	0,288	0,393	0,466	0,416	0,375	0,351	0,311
0:04:16	0,366	0,360	0,340	0,374	0,427	0,347	0,321	0,320	0,284	0,352	0,459	0,495	0,368	0,345	0,289	0,396	0,466	0,419	0,375	0,351	0,312
0:04:23	0,366	0,360	0,341	0,376	0,428	0,348	0,320	0,319	0,284	0,354	0,461	0,501	0,368	0,345	0,288	0,399	0,466	0,421	0,375	0,351	0,312
0:04:30	0,366	0,360	0,341	0,378	0,427	0,352	0,320	0,318	0,285	0,356	0,460	0,502	0,368	0,345	0,289	0,402	0,467	0,424	0,375	0,351	0,312
0:04:37	0,366	0,360	0,341	0,380	0,428	0,352	0,321	0,319	0,285	0,359	0,460	0,502	0,368	0,345	0,289	0,404	0,466	0,427	0,376	0,351	0,313
0:04:44	0,366	0,360	0,341	0,383	0,429	0,354	0,321	0,320	0,285	0,361	0,459	0,508	0,369	0,345	0,289	0,406	0,465	0,432	0,376	0,351	0,313
0:04:51	0,367	0,361	0,341	0,385	0,428	0,358	0,321	0,319	0,285	0,363	0,461	0,512	0,369	0,345	0,290	0,408	0,465	0,435	0,377	0,351	0,313
0:04:58	0,367	0,361	0,342	0,387	0,429	0,358	0,322	0,319	0,286	0,365	0,461	0,510	0,369	0,346	0,290	0,411	0,466	0,439	0,377	0,351	0,314
0:05:05	0,367	0,361	0,342	0,389	0,430	0,361	0,321	0,320	0,285	0,367	0,460	0,515	0,369	0,346	0,290	0,414	0,465	0,439	0,377	0,351	0,314
0:05:12	0,368	0,360	0,342	0,397	0,431	0,363	0,323	0,320	0,286	0,369	0,461	0,518	0,370	0,345	0,290	0,415	0,465	0,444	0,378	0,351	0,314
0:05:19	0,368	0,361	0,342	0,400	0,432	0,362	0,323	0,319	0,286	0,371	0,460	0,516	0,370	0,345	0,290	0,418	0,465	0,446	0,378	0,351	0,315
0:05:26	0,369	0,361	0,342	0,403	0,432	0,366	0,322	0,319	0,286	0,373	0,461	0,518	0,370	0,346	0,290	0,421	0,464	0,448	0,378	0,351	0,315
0:05:33	0,369	0,362	0,342	0,406	0,433	0,369	0,323	0,319	0,287	0,375	0,459	0,523	0,370	0,346	0,291	0,424	0,465	0,450	0,378	0,351	0,316
0:05:40	0,369	0,362	0,343	0,409	0,433	0,370	0,323	0,318	0,287	0,377	0,459	0,530	0,370	0,345	0,291	0,426	0,465	0,455	0,379	0,351	0,316
0:05:47	0,369	0,363	0,343	0,412	0,433	0,373	0,324	0,319	0,288	0,379	0,459	0,531	0,371	0,345	0,291	0,427	0,462	0,460	0,378	0,352	0,316
0:05:54	0,369	0,364	0,343	0,414	0,433	0,374	0,323	0,319	0,287	0,381	0,460	0,531	0,371	0,346	0,291	0,432	0,466	0,462	0,379	0,352	0,317
0:06:01	0,369	0,364	0,343	0,417	0,434	0,374	0,323	0,319	0,287	0,383	0,459	0,536	0,371	0,346	0,292	0,434	0,464	0,463	0,379	0,352	0,317

Read 2:EM Spectrum

Wavelength	A1	A2	A3	B1	B2	B3	C1	C2	C3	D1	D2	D3	E1	E2	E3	F1	F2	F3	G1	G2	G3
500	0,341	0,365	0,312	0,361	0,407	0,330	0,290	0,312	0,268	0,318	0,440	0,501	0,333	0,342	0,271	0,374	0,437	0,425	0,346	0,345	0,292
501	0,341	0,365	0,312	0,362	0,408	0,337	0,289	0,311	0,269	0,319	0,440	0,559	0,329	0,343	0,272	0,376	0,437	0,427	0,341	0,346	0,292
502	0,342	0,365	0,313	0,365	0,409	0,339	0,289	0,312	0,270	0,321	0,440	0,565	0,329	0,343	0,273	0,379	0,437	0,429	0,341	0,346	0,293
503	0,344	0,365	0,314	0,369	0,410	0,343	0,291	0,312	0,271	0,325	0,441	0,568	0,331	0,344	0,274	0,383	0,438	0,432	0,343	0,346	0,294
504	0,345	0,365	0,315	0,371	0,411	0,345	0,291	0,312	0,271	0,327	0,441	0,571	0,332	0,344	0,275	0,385	0,439	0,434	0,344	0,346	0,295
505	0,345	0,365	0,316	0,372	0,411	0,347	0,292	0,312	0,272	0,329	0,441	0,571	0,333	0,344	0,275	0,387	0,439	0,435	0,345	0,346	0,296
506	0,346	0,365	0,316	0,374	0,412	0,348	0,293	0,312	0,272	0,331	0,442	0,573	0,334	0,344	0,276	0,388	0,440	0,436	0,346	0,346	0,296
507	0,347	0,366	0,317	0,376	0,413	0,350	0,295	0,312	0,273	0,333	0,442	0,574	0,336	0,344	0,277	0,391	0,441	0,438	0,347	0,347	0,298
508	0,348	0,366	0,318	0,379	0,414	0,353	0,296	0,312	0,274	0,336	0,443	0,576	0,336	0,345	0,278	0,393	0,441	0,440	0,348	0,347	0,298
509	0,349	0,366	0,319	0,382	0,415	0,356	0,297	0,312	0,275	0,339	0,443	0,579	0,338	0,345	0,278	0,397	0,442	0,443	0,349	0,347	0,299
510	0,350	0,366	0,320	0,384	0,416	0,358	0,298	0,312	0,275	0,342	0,444	0,580	0,339	0,345	0,279	0,399	0,442	0,444	0,351	0,347	0,300
511	0,351	0,366	0,320	0,385	0,416	0,359	0,299	0,312	0,276	0,343	0,444	0,581	0,341	0,345	0,279	0,401	0,443	0,445	0,352	0,348	0,300
512	0,352	0,366	0,320	0,385	0,416	0,360	0,299	0,313	0,276	0,344	0,444	0,580	0,341	0,345	0,279	0,401	0,443	0,445	0,352	0,348	0,301
513	0,352	0,366	0,320	0,386	0,417	0,360	0,300	0,313	0,276	0,344	0,444	0,580	0,342	0,345	0,279	0,402	0,443	0,445	0,353	0,348	0,301
514	0,352	0,366	0,320	0,386	0,417	0,361	0,300	0,313	0,276	0,345	0,445	0,580	0,343	0,345	0,280	0,403	0,443	0,445	0,354	0,348	0,302
515	0,354	0,366	0,321	0,389	0,419	0,364	0,301	0,313	0,277	0,348	0,445	0,582	0,344	0,345	0,281	0,405	0,444	0,447	0,355	0,348	0,303
516	0,354	0,367	0,322	0,392	0,420	0,366	0,302	0,313	0,278	0,350	0,445	0,584	0,345	0,345	0,282	0,408	0,444	0,449	0,355	0,348	0,304
517	0,356	0,367	0,324	0,396	0,421	0,370	0,304	0,313	0,279	0,354	0,445	0,589	0,346	0,346	0,284	0,412	0,445	0,454	0,357	0,349	0,305
518	0,357	0,367	0,325	0,399	0,421	0,373	0,305	0,313	0,280	0,357	0,446	0,591	0,348	0,347	0,284	0,416	0,446	0,457	0,358	0,349	0,306
519	0,357	0,366	0,324	0,397	0,421	0,372	0,305	0,313	0,279	0,357	0,447	0,589	0,349	0,346	0,283	0,415	0,446	0,455	0,360	0,349	0,305
520	0,357	0,366	0,323	0,395	0,421	0,371	0,305	0,314	0,279	0,356	0,447	0,585	0,349	0,345	0,282	0,412	0,446	0,452	0,360	0,348	0,305
521	0,356	0,366	0,322	0,392	0,421	0,368	0,304	0,314	0,278	0,353	0,446	0,581	0,348	0,344	0,281	0,410	0,446	0,449	0,359	0,348	0,305
522	0,355	0,367	0,323	0,393	0,421	0,368	0,304	0,314	0,279	0,352	0,446	0,583	0,347	0,345	0,282	0,409	0,446	0,450	0,357	0,349	0,305
523	0,354	0,367	0,323	0,393	0,421	0,367	0,303	0,313	0,279	0,351	0,446	0,585	0,345	0,346	0,283	0,409	0,445	0,451	0,355	0,349	0,304
524	0,354	0,367	0,323	0,392	0,421	0,366	0,302	0,313	0,279	0,350	0,445	0,586	0,344	0,346	0,283	0,408	0,445	0,452	0,354	0,349	0,303
525	0,353	0,367	0,323	0,392	0,420	0,365	0,301	0,313	0,279	0,348	0,445	0,587	0,342	0,347	0,283	0,407	0,445	0,452	0,353	0,350	0,302
526	0,352	0,367	0,323	0,390	0,420	0,363	0,300	0,313	0,278	0,346	0,445	0,586	0,340	0,347	0,283	0,404	0,444	0,450	0,351	0,350	0,302
527	0,351	0,367	0,323	0,389	0,419	0,362	0,299	0,313	0,278	0,344	0,444	0,587	0,339	0,347	0,283	0,403	0,443	0,450	0,350	0,350	0,301
528	0,351	0,367	0,323	0,388	0,417	0,362	0,299	0,313	0,278	0,344	0,445	0,586	0,339	0,348	0,282	0,403	0,443	0,450	0,350	0,350	0,300
529	0,350	0,366	0,321	0,381	0,415	0,357	0,298	0,314	0,276	0,339	0,445	0,580	0,339	0,346	0,280	0,397	0,443	0,444	0,350	0,350	0,299
530	0,348	0,365	0,318	0,373	0,414	0,351	0,296	0,314	0,274	0,333	0,445	0,569	0,338	0,344	0,277	0,389	0,443	0,436	0,349	0,349	0,297
531	0,345	0,364	0,315	0,365	0,414	0,344	0,294	0,314	0,273	0,325	0,444	0,560	0,336	0,342	0,275	0,381	0,442	0,428	0,346	0,348	0,297
532	0,345	0,365	0,316	0,367	0,415	0,344	0,294	0,314	0,274	0,325	0,443	0,562	0,335	0,343	0,277	0,382	0,441	0,430	0,346	0,348	0,297
533	0,347	0,366	0,319	0,373	0,414	0,350	0,295	0,314	0,275	0,330	0,444	0,572	0,335	0,346	0,278	0,388	0,442	0,437	0,346	0,350	0,297
534	0,346	0,366	0,318	0,369	0,413	0,347	0,294	0,314	0,274	0,327	0,444	0,568	0,335	0,345	0,277	0,384	0,442	0,434	0,346	0,349	0,296
535	0,345	0,365	0,317	0,366	0,413	0,344	0,294	0,315	0,273	0,325	0,444	0,563	0,334	0,344	0,276	0,382	0,442	0,431	0,345	0,349	0,296
536	0,345	0,365	0,317	0,365	0,413	0,344	0,294	0,315	0,274	0,324	0,444	0,563	0,334	0,344	0,277	0,381	0,442	0,430	0,345	0,349	0,296
537	0,346	0,366	0,318	0,367	0,414	0,345	0,295	0,315	0,274	0,326	0,444	0,564	0,335	0,344	0,278	0,383	0,442	0,432	0,346	0,349	0,297
538	0,347	0,366	0,318	0,370	0,415	0,347	0,296	0,315	0,275	0,328	0,445	0,566	0,336	0,344	0,278	0,385	0,443	0,433	0,347	0,349	0,297
539	0,347	0,366	0,319	0,372	0,417	0,349	0,296	0,315	0,276	0,330	0,445	0,568	0,336	0,345	0,280	0,386	0,443	0,435	0,347	0,349	0,299
540	0,349	0,368	0,322	0,379	0,418	0,355	0,299	0,315	0,278	0,335	0,445	0,577	0,338	0,346	0,283	0,393	0,443	0,442	0,348	0,350	0,300
